國家,地區,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
日本,亞洲,797460,731330,1051954,1180406,1214058,1280853,1309847,1113857,1377957,1136394,1560300,2346007,2971846,3797879,4295240,4615873,4825948,4911681,697981
韓國,亞洲,120208,179893,298325,368206,396705,457095,363122,388806,406290,423266,532729,518528,626694,500100,808420,888526,1086516,1209062,163953
香港,亞洲,2418872,1869069,2559705,2807027,2993317,3030971,2851170,2261001,2308633,2156760,2021212,2038732,2018129,2008153,1902647,1773252,1696265,1676374,158008
中國大陸,亞洲,0,0,0,0,0,0,188744,1516087,2424242,2846572,3139055,3072327,3267238,3403920,3685477,3928352,4172704,4043686,414634
澳門,亞洲,1269840,837936,1038006,1163822,1232232,1196110,926593,739263,667910,587633,527050,514701,493188,527144,598850,589147,605468,596721,54537
越南,亞洲,225733,222487,266115,234009,242852,272020,285263,264819,313987,318587,341511,361957,339107,409013,465944,564002,659123,853257,158286
泰國,亞洲,530945,392414,422189,268231,379275,353439,332997,258449,350074,382635,306746,507616,419133,599523,532787,553804,679145,830166,127693
馬來西亞,亞洲,186791,121267,180883,161296,181911,187788,157650,153695,212509,209164,193170,226919,198902,201631,245298,296370,316926,299959,49913
新加坡,亞洲,190455,125491,160088,184926,204834,189835,167479,137348,166126,207808,241893,297588,283925,318516,319915,326634,354667,387485,65674
菲律賓,亞洲,128158,91418,112552,119125,110041,107824,114155,97372,139762,178876,211385,129361,133583,180091,231801,236597,246691,331792,49093
汶萊,亞洲,5850,3770,5795,296,276,670,1233,216,714,1628,1100,2411,298,285,540,801,1093,6317,1594
印尼,亞洲,259610,251284,283757,185348,186165,201358,186117,173429,179845,212826,198893,166378,170301,176478,175738,177960,170013,156060,30237
柬埔寨,亞洲,0,0,0,0,0,0,51480,44231,57078,67341,65599,61338,69195,66593,67281,82888,93313,89975,16157
緬甸,亞洲,19814,17152,18064,15518,14606,13336,10608,11570,14097,16263,18380,23864,22817,19999,25196,26200,25101,25071,5374
阿拉伯聯合大公國,亞洲,0,0,0,0,0,0,14,35,14,141,5,14,61274,76360,79066,68210,83158,136603,26801
土耳其,亞洲,0,0,0,0,0,0,198,0,0,0,0,0,0,47083,69564,63795,83933,87168,15662
亞洲其他地區,亞洲,15895,9234,31097,52211,92672,151278,26373,19253,23439,16320,8569,121196,20034,20520,35303,61351,52483,116096,2925
南非,非洲,0,0,0,0,0,1,38,0,0,1,6,2,8,16,1397,3154,2967,13,2
非洲其他地區,非洲,0,0,0,0,0,0,2,2838,1110,237,1820,12,5,14,3809,13586,13682,14,21
美國,美洲,532180,479264,536217,578998,593794,587872,515590,415465,436233,404848,469568,381374,425138,477156,527099,574512,569180,550978,143975
加拿大,美洲,132605,95226,112413,104346,93244,87161,65393,61893,63002,67733,66614,65086,70285,71079,93405,114828,133757,125474,31756
美洲其他地區,美洲,9,11,0,0,0,0,0,110,283,678,832,135,56,32,2687,8021,7102,68,5
澳洲,大洋洲,70141,70679,75957,87912,76424,75408,66543,89793,74787,54889,49986,69824,85745,103806,139501,165938,190163,180048,40124
紐西蘭,大洋洲,35758,24819,21047,20742,21495,17565,10732,1,997,15962,1621,6,0,3,2804,6846,20901,32457,9668
帛琉,大洋洲,15812,28388,41909,31012,26685,28238,15918,13264,19951,30079,37512,27164,30471,14421,14203,9884,11524,15511,2628
大洋洲其他地區,大洋洲,0,0,0,0,0,129,28,57,110,684,47,126,126,160,1218,1649,1686,119,68
法國,歐洲,28967,24245,26423,26696,29287,27973,442,23518,23960,31337,30132,33000,39126,41185,46461,66720,81814,75642,12801
德國,歐洲,18911,20524,25160,33911,33651,37105,38205,32797,31975,35378,36271,41122,44251,53043,66454,95850,90350,69021,12328
義大利,歐洲,16346,16367,24484,25809,20552,17175,14656,9726,7719,9355,12718,70,0,14,13054,47346,44940,27717,2505
荷蘭,歐洲,129124,105885,128162,121728,93422,85352,98321,84535,43955,85238,83253,22102,22749,30906,32851,66332,63907,63334,11363
英國,歐洲,25764,23432,34071,33831,39255,38310,39114,50621,36142,36376,38002,1,0,0,16321,47797,69211,37992,9340
瑞士,歐洲,4,2,0,0,0,0,169,565,919,1414,64,0,0,0,5529,15463,15337,6,19
奧地利,歐洲,24654,21754,22045,39047,42096,38107,34080,34829,26081,35901,39734,23487,26256,32835,41934,59479,91031,81537,10937
歐洲其他地區,歐洲,771,7,0,0,0,475,36,191,1654,4063,586,18,1295,3546,35483,97542,81187,8334,480
